,word,frequency,decade,count,freq_entropy
663131,shuffles,1.0154324406903681e-07,1870,18.0,1.1369279395592637
76921,shuffles,7.128315379482999e-08,1830,18.0,1.1369279395592637
1156226,shuffles,2.585292794965643e-07,1900,18.0,1.1369279395592637
1793017,shuffles,4.114842962779106e-07,1930,18.0,1.1369279395592637
987940,shuffles,1.394936455064726e-07,1890,18.0,1.1369279395592637
1349129,shuffles,4.1474492875822673e-07,1910,18.0,1.1369279395592637
3826092,shuffles,1.1626351559440964e-06,2000,18.0,1.1369279395592637
428209,shuffles,2.9906041266752705e-05,1860,18.0,1.1369279395592637
789602,shuffles,5.597247795943749e-07,1880,18.0,1.1369279395592637
235085,shuffles,5.947674854652209e-08,1840,18.0,1.1369279395592637
594033,magdalen,5.772733425324743e-05,1870,18.0,1.1655355533843623
2669486,magdalen,1.6296664480197517e-07,1960,18.0,1.1655355533843623
943716,magdalen,2.8828686738004336e-06,1890,18.0,1.1655355533843623
2067503,magdalen,4.911528433677155e-07,1940,18.0,1.1655355533843623
26327,magdalen,7.841146917431297e-07,1830,18.0,1.1655355533843623
1124215,magdalen,2.111322449221941e-06,1900,18.0,1.1655355533843623
3588816,magdalen,1.0178369133484901e-07,1990,18.0,1.1655355533843623
1551052,magdalen,2.947445209756781e-07,1920,18.0,1.1655355533843623
307703,magdalen,6.897028966831958e-07,1850,18.0,1.1655355533843623
761666,magdalen,1.315353232046781e-05,1880,18.0,1.1655355533843623
3867610,magdalen,1.8853543069363725e-07,2000,18.0,1.1655355533843623
1804854,magdalen,2.468905777667464e-07,1930,18.0,1.1655355533843623
453637,magdalen,7.840535163568125e-07,1860,18.0,1.1655355533843623
2360051,magdalen,2.373077999632885e-07,1950,18.0,1.1655355533843623
3264842,magdalen,1.5612845156095273e-07,1980,18.0,1.1655355533843623
2927547,magdalen,5.785551189255173e-07,1970,18.0,1.1655355533843623
153573,magdalen,1.42744196511653e-06,1840,18.0,1.1655355533843623
1338285,magdalen,8.709643503922762e-07,1910,18.0,1.1655355533843623
190355,semi,1.1895349709304417e-07,1840,18.0,1.1713609210098055
125309,semi,7.128315379482999e-08,1830,18.0,1.1713609210098055
968468,semi,4.184809365194178e-07,1890,18.0,1.1713609210098055
2656372,semi,2.444499672029628e-07,1960,18.0,1.1713609210098055
