,word,frequency,decade,count,freq_entropy
56080,lodger,8.537370561011963e-07,1820,20.0,0.9771403979648844
895424,lodger,1.539243143884531e-06,1880,20.0,0.9771403979648844
2470803,lodger,3.164103999510513e-07,1950,20.0,0.9771403979648844
1543,westmoreland,6.0584857198931657e-05,1810,20.0,1.058343704763556
2211487,westmoreland,1.6371761445590517e-07,1940,20.0,1.058343704763556
1520998,westmoreland,8.294898575164536e-08,1910,20.0,1.058343704763556
138590,westmoreland,1.4969462296914295e-06,1830,20.0,1.058343704763556
910668,westmoreland,4.664373163286458e-07,1880,20.0,1.058343704763556
1269779,westmoreland,3.4470570599541894e-07,1900,20.0,1.058343704763556
1075696,westmoreland,8.834597548743265e-07,1890,20.0,1.058343704763556
2728113,westmoreland,5.255674294863699e-06,1960,20.0,1.058343704763556
3658519,westmoreland,4.749905595626287e-07,1990,20.0,1.058343704763556
3953817,westmoreland,7.227191509922761e-07,2000,20.0,1.058343704763556
305606,westmoreland,1.784302456395663e-07,1840,20.0,1.058343704763556
3024815,westmoreland,2.520847303889754e-06,1970,20.0,1.058343704763556
65088,westmoreland,4.268685280505982e-07,1820,20.0,1.058343704763556
586875,westmoreland,3.3602293558149105e-07,1860,20.0,1.058343704763556
421025,westmoreland,1.09202958641506e-06,1850,20.0,1.058343704763556
2452303,westmoreland,8.305772998715097e-07,1950,20.0,1.058343704763556
756034,westmoreland,2.53858110172592e-07,1870,20.0,1.058343704763556
1920238,westmoreland,2.880390073945374e-07,1930,20.0,1.058343704763556
3334294,westmoreland,1.3661239511583366e-06,1980,20.0,1.058343704763556
1702956,westmoreland,1.1052919536587929e-07,1920,20.0,1.058343704763556
608,brutus,0.0001450623341382,1810,20.0,1.0675682787602248
561266,brutus,2.184149081279692e-06,1860,20.0,1.0675682787602248
1451571,brutus,1.3271837720263255e-06,1910,20.0,1.0675682787602248
1907572,brutus,5.349295851612838e-07,1930,20.0,1.0675682787602248
1238586,brutus,3.403968846704762e-06,1900,20.0,1.0675682787602248
3023263,brutus,2.9341009602651235e-06,1970,20.0,1.0675682787602248
2453189,brutus,7.910259998776283e-07,1950,20.0,1.0675682787602248
