word,delta_freq,first_use
authority,0.30116302396910405,1830
grief,0.30125459545284183,1830
remarkable,0.3027588795700019,1830
imagination,0.30396750503868797,1830
magnificent,0.304434027996537,1830
commerce,0.3066793320909637,1830
cheerful,0.3066936016762308,1830
instrument,0.30691221016193965,1830
entirely,0.3070342323595653,1830
forming,0.307309936568197,1830
sword,0.30753567017621525,1830
colonel,0.30922733401925867,1830
spain,0.3098719626564055,1830
slave,0.30999952343951953,1830
pride,0.31002263462113194,1830
amid,0.3104681342597937,1830
m.,0.310470241736056,1830
instruction,0.31080394166402797,1830
strongly,0.3111624237190037,1830
lover,0.311405045491884,1830
gentle,0.3114327465944613,1830
profession,0.31251259444942664,1830
religion,0.31262768592609375,1830
fierce,0.3132095449276814,1830
shore,0.3137200308942358,1830
holy,0.3137802971454187,1830
institution,0.3138369854323117,1830
false,0.3140435572719574,1830
doubt,0.31415675520803077,1830
rapid,0.3142942533083833,1830
enter,0.3145413880411039,1830
generous,0.314715360047526,1830
articles,0.31573136090938575,1830
beauty,0.31576358734929916,1830
blessed,0.3158962753060095,1830
courage,0.31672266011845407,1830
command,0.31733004904720347,1830
belongs,0.31754345776245824,1830
affairs,0.3178229716137861,1830
urged,0.3179637881718781,1830
!,0.3181791818590276,1830
vessels,0.319287812352077,1830
containing,0.31951577737588976,1830
express,0.3200983702463187,1830
congress,0.3218608986604502,1830
error,0.32321838652823853,1830
devoted,0.32323144861307235,1830
branches,0.32331873768912234,1830
lands,0.32368439556657114,1830
continent,0.325468742050912,1830
independence,0.3262238718820194,1830
fixed,0.32949690996507297,1830
informed,0.33036353524976253,1830
respect,0.33040175127265003,1830
facts,0.33051691936171157,1830
valuable,0.3306100752014415,1830
poor,0.33087283952764157,1830
intended,0.33173078732100253,1830
l.,0.3323643978387863,1830
aid,0.3327648894721566,1830
useful,0.33305903872145215,1830
accompanied,0.33325718494810286,1830
friendship,0.333654366869963,1830
observations,0.3337177620977673,1830
round,0.33395768633158246,1830
enemy,0.3340084166499434,1830
infant,0.33426611078818724,1830
proof,0.33447904927892147,1830
interrupted,0.3348186900201302,1830
expedition,0.3349487900990982,1830
pure,0.3350455044869098,1830
restored,0.3353366300764057,1830
cruel,0.33545205052659444,1830
passion,0.3354863299979229,1830
em,0.33569191649806734,1830
conscious,0.3361019369157511,1830
sooner,0.33695377588580644,1830
celebrated,0.33704933654370656,1830
citizen,0.3376601216984419,1830
entered,0.3379228734620199,1830
letter,0.3401516560771153,1830
lucy,0.3402884513266497,1830
weakness,0.3405425667310985,1830
custom,0.3407120497214855,1830
effect,0.3415887199853491,1830
publication,0.34167466941835717,1830
approaching,0.3422847033905494,1830
received,0.3424758473038373,1830
satisfaction,0.3425239517852772,1830
g.,0.3429717884349083,1830
extraordinary,0.34333626155235686,1830
institutions,0.34354656828817043,1830
delighted,0.34365037979175345,1830
gods,0.3437535950106731,1830
wise,0.3441312255806535,1830
cause,0.3442585975827858,1830
plain,0.3443380916301489,1830
curiosity,0.3445368732410626,1830
truth,0.3445438331600046,1830
knowledge,0.34462716903317836,1830
blessing,0.345319932668464,1830
consists,0.34539029032809426,1830
fail,0.3458455625379134,1830
directed,0.34606336087274725,1830
waters,0.34627838429888863,1830
fame,0.3465354160107595,1830
fled,0.3470690183391756,1830
parties,0.34733470411881545,1830
must,0.3474886397559938,1830
thoughts,0.34835594752853094,1830
may,0.348589633600974,1830
france,0.34860658694037605,1830
acts,0.34914178422599984,1830
wit,0.34917825593850266,1830
highest,0.34929151542796144,1830
profound,0.3494044464015234,1830
britain,0.34987833534944995,1830
alike,0.349953337787033,1830
pleasant,0.3503093476427939,1830
justice,0.35040964454784485,1830
secure,0.35065649195101056,1830
behalf,0.35114046531031046,1830
country,0.3515365716442944,1830
edward,0.3519596619912322,1830
bank,0.35244064813457765,1830
gradually,0.3531786671613003,1830
slightest,0.35331528974626414,1830
narrative,0.3533617362905729,1830
society,0.35373028998423633,1830
revolution,0.35386958586845535,1830
confusion,0.35411605469406476,1830
arrangement,0.35441080051842366,1830
master,0.3547677440066025,1830
soldier,0.3550682327213424,1830
determination,0.3552185921258206,1830
seated,0.3552404554314339,1830
application,0.35592904067724906,1830
great,0.35614162823241213,1830
connected,0.3573482829960395,1830
souls,0.3573763850307039,1830
descended,0.3577616272711251,1830
passage,0.35787043555192527,1830
forgive,0.35886734658618,1830
harmony,0.3589919146038854,1830
suffer,0.35925544304901247,1830
commonly,0.3597670175585193,1830
bid,0.3597815524250981,1830
greater,0.35994119951150905,1830
retreat,0.3612626649552175,1830
enemies,0.3613398578323447,1830
whose,0.362879192147937,1830
shone,0.3630881430423891,1830
welfare,0.3632629221349172,1830
conclusion,0.363511367709411,1830
deny,0.3637100238376282,1830
presented,0.36373324416468017,1830
frequently,0.3637606789479275,1830
payment,0.36450153572786215,1830
domestic,0.3646558786902707,1830
seek,0.3663567107834461,1830
fears,0.36681749137606134,1830
witnessed,0.3671809001494852,1830
merchant,0.3673445280016016,1830
bear,0.3674148331746583,1830
ralph,0.3674620782505621,1830
laid,0.36866235590496865,1830
assured,0.3689681502248131,1830
frequent,0.3690854973286234,1830
attempted,0.36925281126394766,1830
fellow,0.36942205489530205,1830
rays,0.36971449269838613,1830
gained,0.37051377490985077,1830
views,0.3705495473734277,1830
preserve,0.3706302572323852,1830
delay,0.37065393816377823,1830
attempt,0.37086140020416236,1830
punishment,0.370970266200059,1830
measures,0.37118883120161844,1830
speak,0.37175743304590597,1830
dared,0.3719363346016217,1830
whole,0.3721472483649111,1830
gazing,0.372242455041623,1830
language,0.3724258699633991,1830
honest,0.37254981483563243,1830
humanity,0.3727417939302608,1830
gazed,0.372837530289476,1830
massachusetts,0.37308001877337377,1830
scenes,0.373533682586366,1830
determined,0.3738850525246246,1830
absence,0.3745011784854799,1830
sunshine,0.37452569922569307,1830
composition,0.37555014602968934,1830
spoken,0.3758366920635687,1830
beloved,0.37626837177668215,1830
indian,0.3763287256008848,1830
fathers,0.3766574878664309,1830
arrival,0.3777589347232966,1830
literary,0.3783359390756652,1830
sake,0.37836871845369585,1830
attended,0.3788015110995796,1830
painter,0.37880642887530885,1830
thunder,0.37937262316625586,1830
servants,0.379482868926872,1830
devil,0.379589345601655,1830
fury,0.3797483692068505,1830
merely,0.3799504528234127,1830
placed,0.3803469386330777,1830
theatre,0.3807025108380235,1830
emotion,0.3808903574716606,1830
immediate,0.38091036326805083,1830
prospect,0.3809166464407448,1830
tribe,0.3815111779604078,1830
reference,0.3826659329383518,1830
progress,0.3827508515875513,1830
contained,0.38313123499010016,1830
rival,0.3831685999770552,1830
prisoners,0.3834377168473861,1830
instantly,0.3839020729783442,1830
heart,0.3846370880962566,1830
common,0.38491317934088387,1830
v.,0.3852487150806713,1830
chamber,0.3856507337159672,1830
judges,0.38591968526658826,1830
thousand,0.38635179502599454,1830
measure,0.38641518009363923,1830
sought,0.38713504500832996,1830
mentioned,0.3882977537865306,1830
pursue,0.38840903939749766,1830
quarters,0.38871730053987663,1830
horse,0.38904918614569534,1830
regret,0.3900937830352033,1830
eye,0.3901813309789486,1830
parallel,0.3911443143228322,1830
owe,0.391193073275004,1830
strength,0.3915666498085002,1830
interests,0.3917032025856651,1830
beings,0.3943304704804539,1830
citizens,0.3945858076062148,1830
drawn,0.39546225730566426,1830
fountain,0.39576680535063063,1830
acknowledged,0.39577944824376887,1830
doubts,0.3958089207472755,1830
form,0.39595984688544356,1830
opposition,0.39624365430422076,1830
branch,0.396471253890486,1830
arrangements,0.3981540690598005,1830
acted,0.3990342106880067,1830
earliest,0.3992708063514791,1830
ourselves,0.3993212052884881,1830
escaped,0.3993755419505257,1830
such,0.39974123050141086,1830
cares,0.4000861054973966,1830
witness,0.40017106029110644,1830
yet,0.40104746420290266,1830
tone,0.4013779180960834,1830
apparent,0.4018299326711396,1830
bark,0.4019181306370465,1830
established,0.4031489946549223,1830
mrs.,0.4031668838834467,1830
power,0.4032874163757884,1830
doom,0.4037803267139556,1830
practical,0.40407898080176186,1830
founded,0.4042339784929017,1830
external,0.4046113641756771,1830
acquired,0.4048580148741958,1830
displayed,0.40582824045891225,1830
boil,0.40596279889407766,1830
settlement,0.40609182753053763,1830
naturally,0.40706205701523185,1830
grasp,0.40709449558386446,1830
trembling,0.4073442654951093,1830
wild,0.40815367455034274,1830
hopes,0.4084670553683338,1830
prayers,0.4087542747945095,1830
advanced,0.40881164036497264,1830
shame,0.4088786958506831,1830
affair,0.4089248022349744,1830
tide,0.40913279669007957,1830
widow,0.40919771602801364,1830
refer,0.4093267597732132,1830
favor,0.40940154997233136,1830
duke,0.40966261762738615,1830
recovered,0.40969719123002163,1830
distant,0.40970899557083024,1830
native,0.4097702340527279,1830
anticipated,0.4098187390517868,1830
advantage,0.41011161821175884,1830
disturbed,0.4102013896017884,1830
honor,0.41038308689552977,1830
unknown,0.4112105778655292,1830
officers,0.4120397107822532,1830
hostile,0.4133996628555337,1830
christians,0.4134761664018028,1830
presents,0.4142049768452667,1830
slight,0.4142395741294656,1830
breast,0.41452983875342575,1830
exclusive,0.41494938009976834,1830
annually,0.4149556623571165,1830
peace,0.41526490893150314,1830
kings,0.4157542720018127,1830
ours,0.41602874255603073,1830
forms,0.4162917439054808,1830
enthusiasm,0.4166592728566112,1830
divided,0.4168417060948688,1830
prove,0.41688770447550194,1830
skies,0.41704990618402865,1830
refuse,0.4175637799309345,1830
subsequent,0.41849376607777405,1830
banking,0.41858754619342164,1830
forests,0.4187267479934749,1830
aged,0.4188945335885667,1830
cloak,0.4190290488018269,1830
warrior,0.4191847370934164,1830
themselves,0.4192351536353696,1830
causes,0.41936598910990297,1830
destruction,0.41970045347294743,1830
desire,0.4200313925755911,1830
property,0.4209104859310145,1830
r.,0.4210187025593486,1830
temple,0.42158493050042045,1830
fruits,0.42164763214096884,1830
wish,0.42168025478188037,1830
proposed,0.42203543856030656,1830
nations,0.4240397108621227,1830
means,0.4241290571626255,1830
applied,0.4242895926809309,1830
scheme,0.4243344267382987,1830
consciousness,0.424365171154089,1830
farther,0.42480745024248023,1830
stream,0.4251658979263973,1830
expression,0.42611134621798225,1830
intelligent,0.4262008335930184,1830
impression,0.4267389306133549,1830
precious,0.4271800284389759,1830
masters,0.4272499433372474,1830
curse,0.42768282068612,1830
admitted,0.42837513129938465,1830
royal,0.4288417787611326,1830
contains,0.4291362565528644,1830
civilization,0.4299291512907634,1830
interest,0.42995281277396336,1830
assist,0.430317875659019,1830
governments,0.4306708236252406,1830
period,0.43103036784318327,1830
wandering,0.431409413685081,1830
strain,0.4318172410794337,1830
soon,0.4322370254505334,1830
granted,0.43224755223148104,1830
seas,0.43336306571005845,1830
english,0.43422675547576867,1830
rapidly,0.43482707833078477,1830
substance,0.435233516720885,1830
various,0.4353286581610201,1830
improvements,0.43561209515234167,1830
immediately,0.4367530775857866,1830
should,0.4372368540189346,1830
true,0.43870144896403174,1830
charity,0.4389296155096061,1830
pound,0.4391927959783855,1830
proved,0.43996489956226476,1830
bitter,0.44018816632021707,1830
among,0.44025980244053814,1830
winds,0.44081343360192193,1830
authors,0.440813433601922,1830
moderate,0.440813433601922,1830
neither,0.44118923363075574,1830
ill,0.44131209133224086,1830
reflection,0.44149475266467597,1830
argument,0.4422323609633015,1830
individuals,0.4426892354470365,1830
mind,0.44279474478412084,1830
ah,0.44290855448406036,1830
exists,0.44379862615453086,1830
alarm,0.4445597234059043,1830
discipline,0.44481355550393575,1830
soil,0.44488749491062735,1830
supper,0.44535790198957065,1830
struck,0.4455772675385422,1830
follows,0.4458657365658409,1830
edition,0.4459631232468042,1830
empire,0.44596914627562867,1830
appear,0.44611283007158614,1830
palace,0.44672598338197755,1830
suspended,0.44699306117578064,1830
expressions,0.4477553774381727,1830
deserted,0.44796175955222334,1830
arguments,0.4482848477307681,1830
laying,0.4483702353208121,1830
employment,0.44854700261248204,1830
excitement,0.4488960494507582,1830
matters,0.4490200666742981,1830
declared,0.45002735575641756,1830
miss,0.45048392940293785,1830
summit,0.4508319207292383,1830
poems,0.45086046342760683,1830
don,0.4516709073359595,1830
necessarily,0.4517145386059879,1830
faith,0.45187679361992394,1830
escape,0.4521567385409279,1830
glance,0.4529842963070657,1830
suffered,0.4535974966601946,1830
himself,0.45483052743357477,1830
limbs,0.45508739240426993,1830
estimate,0.45573680505198705,1830
denied,0.45697360021054634,1830
produced,0.45759727841578823,1830
surrender,0.4577677964327651,1830
journey,0.457941153925923,1830
horses,0.45919597878965845,1830
passed,0.4592717371575467,1830
edgar,0.4595408016961213,1830
foolish,0.459722320834176,1830
exception,0.45979170275895187,1830
shade,0.45980409066310135,1830
parts,0.46022302705807777,1830
introduction,0.4604675357370395,1830
partly,0.460657125146703,1830
hope,0.46073128196898516,1830
gospel,0.46074382820626414,1830
liberal,0.46074971954371746,1830
advance,0.46079993688865895,1830
maintained,0.4609419008896809,1830
safely,0.4611743312278767,1830
columns,0.4613163840020113,1830
strictly,0.4619386780237393,1830
depths,0.4621431158729826,1830
pursuing,0.4623515492502242,1830
speaker,0.4625927534439141,1830
instant,0.4629630377614913,1830
roman,0.46386617694079796,1830
organ,0.4638713670518687,1830
